block,plots,VCP0.32,VCP0.71,VCP1.18,lo1inph,lo2inph,lo3inph,lo1err,lo2err,lo3err,HCP0.32,HCP0.71,HCP1.18,hi1inph,hi2inph,hi3inph,hi1err,hi2err,hi3err,repeat,treatment,name
1,41,22.97,27.54,32.58,2.82,3.02,3.38,0,0,0.2,26.75,33.58,41.16,3.09,3.37,3.92,0,0,0.2,1,53,Inspiration
1,41,23.52,26.59,30.91,2.91,3.1,3.42,0,0.4,0.3,22.78,30.26,39.87,3.07,3.35,3.88,0.1,0.1,0.2,2,53,Inspiration
1,41,22.26,25.66,31.01,2.89,3.13,3.45,0.1,0.2,0,23.03,29.76,38.44,3.05,3.32,3.84,0.1,0.2,0.1,3,53,Inspiration
1,42,25.57,28.16,32.05,2.87,3.07,3.38,0,0,0.1,24.86,30.03,36.89,3.08,3.34,3.8,0,0.1,0.4,1,50,Avalon
1,42,24.54,27.06,31.3,2.85,3.07,3.38,0.1,0,0.3,24.86,30.94,37.88,3.1,3.33,3.85,0.1,0,0,2,50,Avalon
1,42,25.61,27.92,31.66,2.86,3.08,3.38,0,0.2,0.5,23.46,29.34,37.08,3.11,3.37,3.86,0,0.1,0,3,50,Avalon
1,43,24.65,26.5,29.78,2.86,3.09,3.39,0.1,0,0,25.96,29.37,35.96,3.11,3.35,3.8,0,0,0.1,1,66,Bologna 902109
1,43,22.68,24.13,27.68,2.89,3.12,3.4,0.1,0.1,0.1,21.41,24.72,31.43,3.1,3.39,3.8,0,0,0,2,66,Bologna 902109
1,43,20.69,22.32,26,2.84,3.08,3.39,0.1,0.2,0,18.63,23.82,31.19,3.17,3.43,3.86,0,0,0.1,3,66,Bologna 902109
1,44,22.46,24.62,28.52,2.81,2.77,3.16,0,0.2,0.2,21.2,27.54,34,3.13,3.38,4.53,0,0,0,1,12,Revelation
1,44,23.05,24.81,28.39,2.74,2.92,3.3,0,0.2,0.3,21.95,27.68,33.83,3.07,3.4,3.83,0,0.3,0.1,2,12,Revelation
1,44,20.57,23.09,26.36,2.79,2.98,3.48,0,0.1,0.2,19.75,26.11,32.56,3.12,3.5,4.11,0,0,0,3,12,Revelation
1,45,20.49,23.4,28.13,2.88,3.1,3.36,0,0.1,0.3,19.44,26.28,33.66,3.15,3.4,3.82,0.2,0.1,0,1,42,SY112-499 (tall)
1,45,24.06,26.06,29.7,2.89,3.13,3.42,0.1,0.2,0.1,21.86,27.14,33.5,3.08,3.33,3.76,0.1,0.3,0.1,2,42,SY112-499 (tall)
1,45,23.49,25.31,28.88,2.87,3.1,3.35,0.1,0,0.1,22.93,28.49,35.12,3.09,3.34,3.78,0.2,0.3,0.3,3,42,SY112-499 (tall)
1,46,21.19,23.43,27.82,2.89,3.09,3.41,0,0,0.2,19.4,27.54,36.81,3.1,3.32,3.78,0,0.1,0.2,1,69,Syllon
1,46,20.75,23.91,28.39,2.89,3.11,3.41,0,0,0.6,20.48,27.29,35.33,3.07,3.33,3.74,0.1,0,0,2,69,Syllon
1,46,21.85,25.24,29.51,2.9,3.09,3.36,0,0.2,0.1,22.09,28.99,36.06,3.08,3.32,3.81,0,0.1,0.1,3,69,Syllon
1,47,22.5,26.53,31.05,2.86,2.99,3.28,0,0.2,0,23.01,29.71,37.09,3.06,3.27,3.79,0,0,0.1,1,1,Altigo
1,47,24.1,26.48,30.76,2.89,3.1,3.38,0,0.3,0,23.41,28.8,35.92,3.05,3.33,3.77,0.1,0,0.1,2,1,Altigo
1,47,25.22,26.36,30.15,2.84,3.05,3.3,0.3,0.3,0.1,22.28,29.11,35.78,3.11,3.35,3.81,0.2,0.2,0,3,1,Altigo
1,48,21.04,24.72,29.45,2.89,3.09,3.33,0,0,0,21.58,28.98,38.19,3.06,3.29,3.86,0.2,0,0,1,23,Brennan
