VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
19.48,21.95,26.85,22.4,33.0,44.54,3.31,3.53,3.96,3.59,3.91,5.0,73,var56,2
19.7,22.11,28.03,21.75,34.31,45.62,3.3,3.62,4.1,3.65,3.98,5.21,73,var56,2
28.33,38.87,55.01,26.82,38.23,50.3,3.35,3.99,6.11,3.6,4.05,5.56,74,var17,2
30.23,41.82,59.78,22.45,33.88,42.49,3.34,4.1,6.59,3.65,3.96,4.7,74,var17,2
28.4,39.18,54.37,20.4,30.38,38.6,3.35,4.05,6.21,3.64,3.9,4.51,74,var17,2
19.41,21.58,26.07,22.98,31.62,41.48,3.32,3.52,3.84,3.58,3.89,4.62,75,var15,2
21.68,21.91,25.58,21.87,32.55,41.36,3.26,3.29,3.86,3.52,3.94,4.72,75,var15,2
18.43,19.78,23.44,21.44,31.73,40.76,3.3,3.49,3.78,3.41,3.9,5.04,75,var15,2
19.59,20.19,24.07,20.35,28.7,35.24,3.27,3.44,3.66,3.56,3.8,4.51,76,var48,2
18.41,18.99,22.95,19.91,27.68,34.22,3.28,3.49,3.71,3.6,3.8,4.46,76,var48,2
17.92,18.89,22.84,20.22,26.79,34.45,3.3,3.48,3.69,3.57,3.81,4.42,76,var48,2
14.9,15.19,18.79,15.58,22.78,29.71,3.33,3.49,3.74,3.59,3.77,4.34,77,var28,2
15.58,15.76,20.15,14.87,22.69,30.26,3.31,3.51,3.74,3.62,3.79,4.41,77,var28,2
16.04,15.3,20.08,15.42,24.12,31.42,3.31,3.52,3.72,3.62,3.77,4.37,77,var28,2
24.77,19.32,22.11,37.92,28.87,31.41,3.36,3.54,3.76,3.59,3.79,4.44,78,var41,2
15.44,16.24,20.53,15.09,23.6,31.27,3.29,3.47,3.73,3.6,3.79,4.36,78,var41,2
15.43,16.61,21.38,17.05,24.62,31.83,3.34,3.51,3.83,3.59,3.81,4.39,78,var41,2
19.75,23.3,28.36,23.09,33.22,40.49,3.33,3.51,3.82,3.6,3.78,4.42,79,var69,2
19.44,21.33,26.49,21.84,31.94,39.57,3.32,3.46,3.76,3.53,3.76,4.39,79,var69,2
19.38,22.04,27.07,24.16,32.6,40.08,3.34,3.48,3.85,3.58,3.79,4.39,79,var69,2
18.75,20.34,25.94,20.23,29.85,36.83,3.33,3.52,3.82,3.56,3.7,4.4,80,var32,2
17.48,18.78,24.3,18.43,29.47,37.0,3.34,3.53,3.79,3.6,3.73,4.35,80,var32,2
16.94,17.98,22.89,17.6,27.39,35.77,3.35,3.53,3.77,3.59,3.78,4.4,80,var32,2
